Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A527769,OWNER SUR,01/27/2025,JENNY,OTHER,7 YEARS,MED,BLACK,REX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527769&location=MONT,
A527456,CONFISCATE,01/17/2025,*MASU,DOG,3 YEARS,MED,BROWN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527456&location=MONT,
A523645,CONFISCATE,09/17/2024,WOOD�S ROSE,BIRD,1 YEAR 9 MONTHS,MED,BLACK,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523645&location=MONT,
A523655,CONFISCATE,09/17/2024,DAMASK ROSE,BIRD,NO AGE,MED,BLACK / GRAY,CHICKEN / BARRED ROCK,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523655&location=MONT,
A523648,CONFISCATE,09/17/2024,PERSIAN YELLOW ROSE,BIRD,NO AGE,MED,WHITE / GRAY,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523648&location=MONT,
A523651,CONFISCATE,09/17/2024,DOG ROSE,BIRD,NO AGE,MED,BLACK / GRAY,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523651&location=MONT,
A523649,CONFISCATE,09/17/2024,LADY BANKS� ROSE,BIRD,NO AGE,MED,RED,CHICKEN / RHODE ISLAND,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523649&location=MONT,
A523654,CONFISCATE,09/17/2024,WHITE ROSE,BIRD,NO AGE,MED,WHITE / GRAY,CHICKEN / ORPINGTON,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523654&location=MONT,
A523647,CONFISCATE,09/17/2024,MOYES ROSE,BIRD,1 YEAR 9 MONTHS,MED,RED,CHICKEN / RHODE ISLAND,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523647&location=MONT,
A517695,OWNER SUR,10/26/2024,SPOTS,DOG,4 YEARS,LARGE,WHITE / BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517695&location=MONT,
A486964,OWNER SUR,03/15/2025,*THUMPER,OTHER,3 YEARS,SMALL,BROWN,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A486964&location=MONT,
A484117,OWNER SUR,03/09/2025,ROCKY,DOG,4 YEARS,MED,BLACK / WHITE,SIBERIAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A484117&location=MONT,
A527153,BOARDING,01/05/2025,*SHENOROCK,CAT,8 YEARS,MED,ORANGE TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527153&location=MONT,
A529058,OWNER SUR,03/15/2025,SASCHAUCH,CAT,5 YEARS,LARGE,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529058&location=MONT,
A529314,OWNER SUR,03/23/2025,CHERRY,OTHER,NO AGE,SMALL,ORANGE,HAMSTER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529314&location=MONT,
A529006,BOARDING,03/13/2025,*CHILE,OTHER,NO AGE,MED,GRAY,CHINCHILLA,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529006&location=MONT,
A527477,RETURN,03/17/2025,MILO,DOG,1 YEAR 2 MONTHS,MED,BROWN / WHITE,LABRADOR RETR / GERM SHEPHERD,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527477&location=MONT,
A529263,OWNER SUR,03/21/2025,NEBULA,DOG,9 MONTHS,MED,WHITE,DOGO ARGENTINO,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529263&location=MONT,
A528179,RETURN,03/25/2025,DIEGO,DOG,2 YEARS,MED,WHITE,JACK RUSS TERR / WEST HIGHLAND,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528179&location=MONT,
A446044,OWNER SUR,03/21/2025,PENNY,DOG,8 YEARS,MED,FAWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A446044&location=MONT,
A512748,FOSTER,03/10/2025,MISSY,DOG,2 YEARS,LARGE,BRINDLE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A512748&location=MONT,
A515839,OWNER SUR,02/15/2025,DUTCHESS,DOG,2 YEARS,MED,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515839&location=MONT,
A527450,RETURN,03/06/2025,*RUFFY,DOG,1 YEAR 4 MONTHS,LARGE,TAN / BLACK,DOBERMAN PINSCH / AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527450&location=MONT,
A502797,OWNER SUR,02/25/2025,PIEDMONT,DOG,3 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502797&location=MONT,
A519442,OWNER SUR,12/26/2024,*TOOTSIE ROLL,DOG,3 YEARS,MED,BROWN / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A519442&location=MONT,
A528461,OWNER SUR,02/22/2025,BLU,DOG,1 YEAR 8 MONTHS,LARGE,WHITE / GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528461&location=MONT,
